feature,Correlation_1,Mutual Information_1,Permutation Importance_1,Tree-Based Importance_1,weight_1,Correlation_2,Mutual Information_2,Permutation Importance_2,Tree-Based Importance_2,weight_2,Correlation_4,Mutual Information_4,Permutation Importance_4,Tree-Based Importance_4,weight_4,Correlation_8,Mutual Information_8,Permutation Importance_8,Tree-Based Importance_8,weight_8,weighted_Correlation,weighted_Mutual Information,weighted_Permutation Importance,weighted_Tree-Based Importance
20,0.0073729212104125,0.3812251840687084,-0.0014975364696605,0.0154956037093908,0.1,0.0047957456619068,0.3034849869197851,0.0111062406406678,0.0172125501914311,0.15,0.0191648032244376,0.4286921432218822,0.0323238173888793,0.0164211067772781,0.5,-0.0013259903838375,0.2488771961246412,-2.1435335549302435e-05,0.0160866819866498,0.25,0.010707557986586696,0.36021063708694,0.017672732309686447,0.016363666784955246
21,0.0447365264153935,0.4503043855795825,0.007110356461219,0.0145294217341753,0.1,0.0100729815881553,0.0638000400103875,0.0039359752602851,0.016981230327713,0.15,0.0321564031130494,0.3846987874633525,0.0140111520798306,0.0158258521793848,0.5,0.0068440315163444,0.2861277662356869,0.0049608937959739,0.0160674556781545,0.25,0.023773809315373446,0.3184817798501144,0.00954723142407344,0.015929916731805504
22,0.0014738682523844,0.3296751860879965,-0.0033614597464715,0.014386246683841,0.1,0.0285048083785814,0.5009480671801345,0.0895537674947352,0.0160928338004927,0.15,0.0049686833814853,0.0272322088601351,-0.0026924476496278,0.0156918799826401,0.5,-0.0119380405653819,0.2159223259047582,0.0080210329068507,0.0159516847792009,0.25,0.003922939631422824,0.17570641459207692,0.013755953551461905,0.01568641092457828
23,0.0318539363304865,0.4876826200378055,0.0090288186964344,0.0138943578385508,0.1,-0.0074989455611099,0.2536956250431519,0.0131631080493088,0.0157070072176716,0.15,0.0012800848475889,0.2089677742653268,0.0009621219078526,0.0156753697061479,0.5,0.0001815913311774,0.202709194435541,0.0026676006668477,0.01583014211994,0.25,0.002745992055470965,0.241983791501802,0.0040253091976779854,0.01554070724956477
24,-0.0209360735496202,0.4124405823507762,-0.001421108680361,0.0137753872831939,0.1,0.0386794017985631,0.4598893474689971,-0.0025325629847467,0.0155503985945579,0.15,-0.0051750183990514,0.2345947885996473,0.0011256696173213,0.0151587918090535,0.5,0.0207096544456509,0.3868293637703566,0.0264682946845076,0.0145941055985501,0.25,0.0062982073267094695,0.32423219559784,0.006657913164039445,0.01493802082166735
25,0.0114244185225167,0.3040222526406184,0.0070952643045915,0.0136989776328144,0.1,0.0284943519682578,0.4956206815279254,0.0184062452574663,0.0149631383702157,0.15,-0.0012439083752652,0.2155630936471704,-0.0023891048763579,0.0150114004298509,0.5,-0.0191174590687684,0.2361225712623618,0.0087933304580885,0.0144698419552009,0.25,1.527569266564048e-05,0.27155751713242626,0.00447424339542227,0.01473752922253947
26,0.0585526073648689,0.5066990750799887,-0.0007548413113502,0.0136228279490563,0.1,0.0248460591436169,0.4722859432174742,-0.0069964020067447,0.0148588233764688,0.15,-0.0072219498475245,0.3242933523778859,0.0857634883967741,0.0149577750800494,0.5,-0.007907126127094,0.2699215876788052,0.0224576578585249,0.0142428294349998,0.25,0.003994413152493674,0.3511398720992643,0.04737121423087155,0.0146307012001506
27,0.0094168031170957,0.3231338849816079,0.004851908160249,0.0135838560380263,0.1,0.0276832064570601,0.2775898791666336,-0.031990266275816,0.0148302297909761,0.15,0.0199482084586744,0.2278830732696022,0.0163151309213891,0.0147264774168345,0.5,0.0010566860887834,0.1925298668604886,0.0032810053134832,0.0136210493727066,0.25,0.015332437031801635,0.23602587372307907,0.004664467663717852,0.014351421124042944
28,0.0620729722334746,0.516856138361458,0.0067000510363359,0.0135527764618568,0.1,0.023173056530427,0.2755980793313926,0.0043394748223526,0.0146069810423084,0.15,-0.0119763443787821,0.3247613506030493,0.0140872508466907,0.0142835624129927,0.5,0.0043647776223091,0.3004569059137303,0.005051597653978,0.0135816763066119,0.25,0.004786277919097736,0.3305202275158119,0.00962745116382633,0.014083525085681267
29,0.0024178075016105,0.0400546149249079,-0.0010235760933172,0.0135393734219834,0.1,0.0288476615558468,0.5048301776489499,0.0394341296778627,0.014169811227528,0.15,-0.0033178940734639,0.0305247328924167,0.0005243779840643,0.0142120125456579,0.5,0.0007216736373266,0.1757792895072754,0.0097964799025692,0.0134679165915938,0.25,0.00309040135613777,0.13893717696286045,0.008524070810022134,0.01395239444705494
30,0.0095127994499964,0.3804974010045097,-0.0068941342161866,0.0134592422468376,0.1,-0.000187285176902,0.2835696102769001,-0.0038401144684309,0.0138434921538119,0.15,0.0305578060911815,0.3880472281615468,0.013289157632208,0.0138866123884896,0.5,0.0173943638842026,0.3895001738436789,0.0174859824834205,0.0133929656721391,0.25,0.020550681185105737,0.3719838391836791,0.009750643845075829,0.01371399566003512
