variable,resolution,count,mean,std,variance,min,25%,50% (median),75%,max,skewness,kurtosis
close_mom20,4,15418.0,1.7197581852380337,13.493892193297022,182.0851265243223,-112.31100000000004,-0.8947749999999948,0.2200500000000005,3.125425000000007,165.366,1.0105332412014223,20.05795299022189
close_mom10,4,15418.0,0.8227528019198339,9.739543460691467,94.85870682269791,-110.3369,-0.7199999999999989,0.0987000000000009,1.832474999999996,129.27370000000008,0.5871922035313155,24.368541755210387
low_mom5,4,15418.0,0.38104296277078753,21.37343390837253,456.82367703556866,-789.2252000000001,-0.7718749999999979,0.0300000000000002,1.2133000000000003,807.1968,0.3467298432832412,315.5101995148862
low_roll_std,4,15418.0,6.772124519767606,13.071260709953439,170.85785654757248,0.0193521513831614,0.3870447771179739,1.9010339110013807,7.764602991519488,187.3061210301383,5.433282614906411,48.64420951050857
EMA12,4,15418.0,191.4988203377304,245.59340346019385,60316.119823161556,1.1992229967844277,22.863566139574047,88.28005280364023,207.8369579634567,950.6361525539612,1.5921151136629952,1.3703348464346243
open_mom10,4,15418.0,0.8294412115708911,9.752808785145357,95.11727919960846,-110.86429999999996,-0.7100000000000062,0.1008000000000013,1.8388750000000016,123.18229999999994,0.6421069755194921,24.067581310854088
low_EMA,4,15418.0,187.64762328885502,241.6130965885994,58376.88844313186,1.1818735408779713,22.538601145352352,85.52098679926738,204.9429097844967,938.3060989304022,1.5975208871231654,1.3771720871879083
open_roll_mean,4,15418.0,191.0993895540926,245.15431452362847,60100.637929550154,1.2069899999999998,22.80999125,88.0359225,207.48130874999998,949.272875,1.5939175296895967,1.3792779272618905
ATR_x_Stoch14,4,15418.0,368.3307166301007,659.4168062388493,434830.52435024414,0.0,16.83925191109287,101.62592705893414,453.3956887863636,7964.115153951348,3.9886869908120635,22.84529048249857
open_mom20,4,15418.0,1.7291963873394736,13.584680463685055,184.5435433004264,-112.7106,-0.8924749999999997,0.2292999999999985,3.152750000000001,164.2545,1.1426012001629493,20.985819553978462
target,4,15418.0,0.004037281100012972,10.071482318493159,101.43475609172032,-839.2107,-0.20065000000000088,0.009799999999991371,0.32819999999999894,560.0435,-30.55028031543749,3932.293280866646
close,8,30901.0,192.35439983819293,245.82861097618667,60431.70597448133,1.12,23.0649,88.763,208.15,967.4069,1.587850910723981,1.3591722803481154
EMA26,8,30901.0,191.83329020777558,245.23091293234035,60138.20065762909,1.200815507656949,23.05439314067379,88.72615037111557,208.129488062103,950.1389028192272,1.588980005502299,1.3633586131380735
close_EMA,8,30901.0,191.96123051338617,245.3789598905325,60210.83395695956,1.1982987408770145,23.09582236729462,88.75385084004019,208.10413462364207,950.953402367678,1.5886976425679917,1.3622759036254397
ATR14_x_MACD_hist,8,30901.0,-0.16201726931736884,16.592208184535053,275.30137243895206,-490.5065284348362,-0.1085469649528485,-3.275060437947541e-05,0.0940617933985432,323.75219088227647,-1.0505811897975503,168.21952722277067
high_roll_std,8,30901.0,5.727357359721064,25.952319445229097,673.5228845872164,0.0129573429699834,0.2459362414164951,1.0741142878843744,3.8917226718243993,438.18865441203593,10.625856250756803,127.51083188162318
close_mom5,8,30901.0,0.2007677162551374,4.89091169665205,23.92101722444783,-116.60760000000003,-0.4123999999999981,0.0250000000000003,0.7039000000000044,92.2957,0.06069129149067678,56.46520125392381
close_mom20,8,30901.0,0.8296760169573801,9.76128854628912,95.28275408391514,-110.3369,-0.7299000000000007,0.0999999999999996,1.805,130.3583000000001,0.5579083327717241,24.87021955465537
close_mom10,8,30901.0,0.4062593637746351,6.884314734960153,47.393789369989484,-110.8279,-0.5755000000000052,0.04,1.1000999999999976,128.86559999999997,0.49588297803526893,30.695850818923745
low_mom5,8,30901.0,0.19221172777580017,15.445138593328354,238.55230616712095,-801.654,-0.4906000000000006,0.0242000000000004,0.7982000000000085,807.7739,0.013656650650358149,600.7281046097299
low_roll_std,8,30901.0,4.671379742995881,9.828065266725787,96.59086688702182,0.0121336190202286,0.2561773692249546,1.276833120159857,4.861161483527381,179.63080890776675,6.688237824386351,79.51890421882251
EMA12,8,30901.0,192.12979071552255,245.57216153156193,60305.68651928354,1.1939959596528942,23.09727148953136,88.73553953720183,208.10720034648415,952.9975544154818,1.5883067831431767,1.360772474602748
open_mom10,8,30901.0,0.4075770557587133,6.9194994294197185,47.87947235373981,-110.7699,-0.5812999999999988,0.0424999999999999,1.1099999999999994,128.89549999999997,0.5556563690931721,32.36120281097468
low_EMA,8,30901.0,189.87533884231644,243.2019721578664,59147.199261475624,1.176551446890337,22.85289484793771,87.46628551125364,206.5203431916881,945.9035924285278,1.5909946355272457,1.3634717270335868
open_roll_mean,8,30901.0,191.9438122709621,245.36882534377173,60205.86045058235,1.201245,23.1195,88.63699,207.92982,951.116095,1.5890980159116217,1.3647964106969956
ATR_x_Stoch14,8,30901.0,220.54302963388042,417.33143062247603,174165.52298540252,0.0,10.84658132530121,57.82542478918626,257.4140474413953,5415.072628466869,4.596912158644108,31.53123940820963
open_mom20,8,30901.0,0.8328705025727323,9.750484991340612,95.07195756635853,-110.86429999999996,-0.7239999999999327,0.1,1.8100000000000025,131.438,0.6016151121601302,24.78721293009199
target,8,30901.0,0.0020422607682599294,7.164878625027577,51.33548571137706,-844.2042,-0.15860000000000696,0.004899999999999238,0.21999999999999886,544.4927,-44.65662755275869,7687.207513545926
close,16,61451.0,193.37534631006824,245.9511935904095,60491.98962854709,1.0,23.4003,89.3956,208.57585,967.4069,1.5833825726228659,1.3420535487305107
EMA26,16,61451.0,193.11728506348393,245.6563652613285,60347.04979340724,1.1939564968877554,23.37577431933508,89.46471563086813,208.4334659151267,952.4915030280416,1.5839192831500457,1.3440016203745913
close_EMA,16,61451.0,193.18028087444952,245.72837920962223,60382.43634898791,1.1920754848845674,23.386818458959215,89.46543299673664,208.444469608401,953.779108776808,1.5837701027298103,1.343411345340356
ATR14_x_MACD_hist,16,61451.0,-0.038897507215071125,8.544318258182694,73.00537449711413,-521.6367782735999,-0.045679917383153204,1.6104852875101492e-05,0.04132668432002995,278.27684193668875,-7.028682364572313,578.3600046824802
high_roll_std,16,61451.0,3.8170103288692365,19.703805301666527,388.239943365982,0.0069418714295744,0.1698686306436446,0.6970164629190276,2.6155527586722704,440.9051132010787,12.78276115089101,185.68969256975035
close_mom5,16,61451.0,0.1007843517599388,3.7059544866581158,13.734098657181418,-132.00330000000008,-0.28024999999999123,0.0150999999999998,0.4476499999999959,132.66430000000005,-0.8453673089542568,170.5686472675856
close_mom20,16,61451.0,0.4102583196367838,6.949563704949491,48.2964356891513,-117.79070000000002,-0.5849500000000027,0.0443,1.120000000000001,130.18370000000004,0.4125690810328469,30.924600829623294
close_mom10,16,61451.0,0.2027506956762298,4.971034055533498,24.71117958127382,-119.2581,-0.4178499999999943,0.0283000000000015,0.7238000000000007,135.21980000000008,0.13913432057339437,64.8551202788942
low_mom5,16,61451.0,0.0937598753478381,11.925486215136797,142.21722146741774,-793.0265,-0.34694999999999965,0.0100000000000015,0.487899999999982,803.8234,0.2939886265500925,855.5331349423215
low_roll_std,16,61451.0,3.2318089858527768,7.686642618909261,59.084474750832214,0.0074515982074145,0.17602508127193817,0.781633610678277,3.1243573697391915,181.16826859665647,8.087769920981877,118.14260966850067
EMA12,16,61451.0,193.26337748755878,245.82274997150796,60428.824403554514,1.180022121831637,23.384483560235644,89.4293408070014,208.561994096482,956.4907943376024,1.583569145641402,1.3426202844934485
open_mom10,16,61451.0,0.2038506956762298,4.9755640977970135,24.75623809128661,-121.77249999999992,-0.4199999999999733,0.028599999999999,0.7247500000000002,127.88249999999994,0.038506758999927115,62.61766090055718
low_EMA,16,61451.0,191.78267418710192,244.27775684481054,59671.62248913238,1.17526538303533,23.23435822494823,88.6915686170287,207.51478549372752,950.1007634672758,1.58533307963537,1.3440875291344199
open_roll_mean,16,61451.0,193.16319847756753,245.71224493014182,60374.50730861,1.19419,23.377315,89.38096,208.518015,956.0275800000002,1.5839819426269959,1.3447497177113696
ATR_x_Stoch14,16,61451.0,145.5614230404658,318.4460334247422,101407.87620395205,0.0,7.286422394514046,33.572692355335484,157.15184974337345,11085.58664931989,6.877481626903515,86.09227403188257
open_mom20,16,61451.0,0.4118885323265692,6.972250280066179,48.612273967882906,-113.6825,-0.5872499999999974,0.0449999999999999,1.1245500000000064,129.5625,0.48453886845238264,31.8726439233497
target,16,61451.0,0.0011658459585686199,5.1834081194746595,26.867719733035823,-844.1372,-0.11480000000000157,0.0,0.14180000000000348,553.7161,-58.22335732322239,14261.867634708671
